candidate_id	score	rank
CAND_0039977	100.0807	1
CAND_0013264	96.926	2
CAND_0078121	96.6836	3
CAND_0053053	96.2251	4
CAND_0024858	95.661	5
CAND_0031652	95.5231	6
CAND_0007309	95.4632	7
CAND_0095947	95.445	8
CAND_0068512	95.4415	9
CAND_0063657	95.2102	10
CAND_0037003	95.1045	11
CAND_0081472	95.0812	12
CAND_0015133	94.5125	13
CAND_0022042	94.4572	14
CAND_0027855	94.4205	15
CAND_0071908	94.4015	16
CAND_0013810	94.2646	17
CAND_0041895	94.2132	18
CAND_0039716	94.0907	19
CAND_0055257	94.0079	20
CAND_0053774	93.9592	21
CAND_0042429	93.9279	22
CAND_0053099	93.8596	23
CAND_0018918	93.8533	24
CAND_0076006	93.8462	25
CAND_0050679	93.7536	26
CAND_0054159	93.7421	27
CAND_0057202	93.737	28
CAND_0014968	93.6677	29
CAND_0018202	93.6609	30
CAND_0056532	93.5343	31
CAND_0024407	93.5307	32
CAND_0061475	93.5188	33
CAND_0093357	93.5156	34
CAND_0081801	93.453	35
CAND_0028107	93.4257	36
CAND_0098770	93.2986	37
CAND_0076037	93.2735	38
CAND_0020974	93.2644	39
CAND_0053908	93.2301	40
CAND_0045899	93.2231	41
CAND_0005248	93.2016	42
CAND_0079596	93.1604	43
CAND_0098356	93.1428	44
CAND_0008265	93.1051	45
CAND_0020236	93.0574	46
CAND_0003625	92.847	47
CAND_0059849	92.8023	48
CAND_0013186	92.7662	49
CAND_0027651	92.7488	50
CAND_0050943	92.7177	51
CAND_0021997	92.709	52
CAND_0002623	92.6996	53
CAND_0060345	92.6808	54
CAND_0077424	92.6625	55
CAND_0002126	92.6315	56
CAND_0042258	92.5881	57
CAND_0030437	92.5545	58
CAND_0027554	92.4811	59
CAND_0036898	92.3899	60
CAND_0037933	92.3841	61
CAND_0079322	92.3798	62
CAND_0018393	92.3581	63
CAND_0044441	92.3394	64
CAND_0005405	92.3333	65
CAND_0034391	92.3092	66
CAND_0047068	92.2669	67
CAND_0056345	92.1978	68
CAND_0060894	92.1739	69
CAND_0093988	92.136	70
CAND_0009288	92.0921	71
CAND_0003117	92.0279	72
CAND_0093684	92.0051	73
CAND_0096961	92.0002	74
CAND_0088614	91.9906	75
CAND_0056287	91.9884	76
CAND_0060726	91.9261	77
CAND_0074657	91.9186	78
CAND_0077420	91.8598	79
CAND_0042024	91.8597	80
CAND_0048526	91.8436	81
CAND_0098722	91.8175	82
CAND_0060032	91.8071	83
CAND_0016695	91.7551	84
CAND_0035594	91.7281	85
CAND_0058217	91.6256	86
CAND_0012491	91.607	87
CAND_0084718	91.5947	88
CAND_0006017	91.5233	89
CAND_0027450	91.5051	90
CAND_0019475	91.5018	91
CAND_0080526	91.4981	92
CAND_0029150	91.4814	93
CAND_0096694	91.4767	94
CAND_0021581	91.4705	95
CAND_0002963	91.4464	96
CAND_0005247	91.4365	97
CAND_0067956	91.4203	98
CAND_0092696	91.3914	99
CAND_0037081	91.3834	100
CAND_0022801	91.3543	101
CAND_0020524	91.3283	102
CAND_0092796	91.3255	103
CAND_0011766	91.3163	104
CAND_0085263	91.3103	105
CAND_0061102	91.2995	106
CAND_0065745	91.2889	107
CAND_0057976	91.2865	108
CAND_0010482	91.2173	109
CAND_0025052	91.2129	110
CAND_0070585	91.212	111
CAND_0023182	91.1671	112
CAND_0085329	91.1666	113
CAND_0092767	91.1325	114
CAND_0060388	91.1007	115
CAND_0019696	91.053	116
CAND_0050151	91.0076	117
CAND_0087775	90.9904	118
CAND_0065010	90.9758	119
CAND_0039919	90.9634	120
CAND_0019726	90.9617	121
CAND_0033612	90.9378	122
CAND_0028399	90.9377	123
CAND_0030386	90.8724	124
CAND_0064215	90.8668	125
CAND_0035214	90.8552	126
CAND_0013842	90.8261	127
CAND_0047065	90.826	128
CAND_0018610	90.8259	129
